Track,Artist,Album
Stronger,Kidnap Kid,Stronger
Trouble In Paradise (Variation On A Theme),UNKLE,End Titles... Stories For Film
Pilgrim,MØ,No Mythologies To Follow
Taipei,65daysofstatic,Taipei
Goddess,Chrome Sparks,Goddess
Drone Logic,Daniel Avery,Drone Logic
Break 'Em,Reso, Pulse Code
Disclosed,Federico Albanese,The Houseboat and the Moon
