Track,Artist,Album
Bowline, Snow Ghosts, Bowline
Feeling Alright (Daughter Remix), Warpaint, Feeling Alright (Daughter Remix)
Pop It (Shirobon Remix), Anamanaguchi, Pop It
The Monarch's Pyramid, Cristobal Tapia de Veer, Utopia 2
Ghosts, Made in Heights, Ghosts
Gagarin, Public Service Broadcasting, Gagarin

