Name,Artist,Album,Track Number
Stronger,Kidnap Kid,Stronger,1
Stronger,Kidnap Kid,Stronger,1
Trouble in Paradise (Variation on a Theme),UNKLE,End Titles…Stories for Film,13
Pilgrim,MØ,No Mythologies to Follow,5
Taipei,65daysofstatic,Taipei,1
Goddess,Chrome Sparks,Goddess,1
Drone Logic,Daniel Avery,Drone Logic,1
Break 'em,Reso,Pulse Code,4
Disclosed,Federico Albanese,The Houseboat and the Moon,2
