Name,Artist,Album,Track Number
Bowline,Snow Ghosts,Bowline,1
Feeling Alright (Daughter Remix),Warpaint,Feeling Alright (Daughter Remix),1
Pop It (Shirobon Remix),Anamanaguchi,Pop It,4
The Monarch's Pyramid,Cristobal Tapia de Veer,Utopia 2 (Original Television Soundtrack),16
Ghosts,MADE IN HEIGHTS,Ghosts,1
Gagarin,Public Service Broadcasting,Gagarin,1
