Name,Artist,Album,Track Number
Walk This Way (Alle Farben Remix),MØ,Walk This Way,4
Waiting On,Tokyo Prose,Presence,10
Melody Day (Four Tet Remix),Caribou,Melody Day (Four Tet Remix),1
Spare Me,Faded Paper Figures,Relics,7
Burnt,Kiasmos,Burnt,1
Taxi Sadness,µ-Ziq,Rediffusion,1
Kicks,FKA twigs,LP1,10
L.A. River Drive (feat. Sick Jacken),Dilated Peoples,Directors Of Photography,15
Write,Mistabishi,"Write:Read, Pt. 1",1
Shaman Champagne,Second Storey,Shaman Champagne,1
Don't Let Me Go,The Prototypes,Don't Let Me Go,1
