Name,Artist,Album,Track Number
Tomahawk Cruise,T V Smith's Explorers,The Chiswick Story Part 2,13
Opium For The People - Live,Gong,Planet Gong,5
Life During Wartime (2005 Remastered Version),Talking Heads,Fear Of Music (Deluxe Version),5
Making Plans for Nigel,XTC,Fossil Fuel: The XTC Singles Collection 1977 - 1992,6
"The Knight, The Devil and Death",The Fall,Sinister Waltz,5
